Identifiant,Algorithme,Train accuracy,Test accuracy,Écart train-test,Temps entraînement (s),Taille modèle (Ko),Rechargement validé
mlp_v2,MLP,0.6356275303643725,0.5675675675675675,0.06805996279680493,59.6029373,1982.9326171875,True
perceptron_v1,Perceptron,0.6707152496626181,0.5216216216216216,0.14909362804099646,5.371552,62.7490234375,True
rbf_v2,RBF,0.5175438596491229,0.518918918918919,-0.0013750592697960862,82.3279974,5666.7216796875,True
svm_v1,SVM,0.6740890688259109,0.5081081081081081,0.16598096071780277,6.275721,63.1845703125,True
